Row ID,Order ID,Order Date,Ship Date,Customer ID,Product ID,City,Sales,Quantity,Profit,Returns,Ship Mode,Payment Mode
4918,CA-2019-160304,2019-01-01,2019-01-07,BM-11575,FUR-BO-10004709,Gaithersburg,73.94,1,28.2668,0.0,Standard Class,Online
4919,CA-2019-160304,2019-01-02,2019-01-07,BM-11575,FUR-BO-10004709,Gaithersburg,173.94,3,38.2668,0.0,Standard Class,Online
4920,CA-2019-160304,2019-01-02,2019-01-07,BM-11575,TEC-PH-10000455,Gaithersburg,231.98,2,67.2742,0.0,Standard Class,Cards
3074,CA-2019-125206,2019-01-03,2019-01-05,LR-16915,OFF-ST-10003692,Los Angeles,114.46,2,28.615,0.0,First Class,Online
8604,US-2019-116365,2019-01-03,2019-01-08,CA-12310,TEC-AC-10002217,San Antonio,30.08,2,-5.264,0.0,Standard Class,Online
8605,US-2019-116365,2019-01-03,2019-01-08,CA-12310,TEC-AC-10002942,San Antonio,165.6,3,-6.21,0.0,Standard Class,Online
8606,US-2019-116365,2019-01-03,2019-01-08,CA-12310,TEC-PH-10002890,San Antonio,180.96,5,13.572,0.0,Standard Class,Cards
9494,CA-2019-105207,2019-01-03,2019-01-08,BO-11350,FUR-TA-10000617,Broken Arrow,1592.85,7,350.427,0.0,Standard Class,COD
9495,CA-2019-105207,2019-01-03,2019-01-08,BO-11350,OFF-BI-10004364,Broken Arrow,11.88,2,5.346,0.0,Standard Class,COD
2898,US-2019-164630,2019-01-04,2019-01-09,EB-13975,TEC-CO-10000971,Charlotte,959.968,4,119.996,0.0,Standard Class,Online
5868,CA-2019-158211,2019-01-04,2019-01-08,BP-11185,OFF-AR-10004078,Philadelphia,4.672,1,0.584,0.0,Standard Class,Online
5869,CA-2019-158211,2019-01-04,2019-01-08,BP-11185,OFF-BI-10002026,Philadelphia,104.58,6,-80.178,0.0,Standard Class,Online
863,CA-2019-134474,2019-01-05,2019-01-07,AJ-10795,TEC-AC-10001714,Jacksonville,191.472,6,40.6878,0.0,Second Class,COD
864,CA-2019-134474,2019-01-05,2019-01-07,AJ-10795,OFF-AR-10003958,Jacksonville,5.248,2,0.5904,0.0,Second Class,Online
865,CA-2019-134474,2019-01-05,2019-01-07,AJ-10795,TEC-PH-10002923,Jacksonville,59.184,2,5.1786,0.0,Second Class,COD
2162,CA-2019-101938,2019-01-07,2019-01-12,DW-13480,OFF-AR-10003696,Oakland,34.58,1,10.0282,0.0,Standard Class,COD
8031,CA-2019-158806,2019-01-07,2019-01-11,NM-18520,FUR-FU-10004270,Amarillo,23.076,3,-10.9611,0.0,Standard Class,COD
8032,CA-2019-158806,2019-01-07,2019-01-11,NM-18520,OFF-PA-10004621,Amarillo,25.92,5,9.072,0.0,Standard Class,Cards
6851,US-2019-100461,2019-01-08,2019-01-12,JO-15145,FUR-BO-10002545,Franklin,1565.88,6,407.1288,0.0,Standard Class,Online
6852,US-2019-100461,2019-01-08,2019-01-12,JO-15145,OFF-BI-10001460,Franklin,106.05,7,49.8435,0.0,Standard Class,Cards
7808,US-2019-137295,2019-01-08,2019-01-13,VS-21820,OFF-BI-10004236,Raleigh,30.828,7,-24.6624,0.0,Standard Class,Cards
7809,US-2019-137295,2019-01-08,2019-01-13,VS-21820,OFF-AR-10001955,Raleigh,47.616,3,5.952,0.0,Standard Class,COD
7810,US-2019-137295,2019-01-08,2019-01-13,VS-21820,TEC-PH-10004080,Raleigh,108.784,2,10.8784,0.0,Standard Class,COD
3209,CA-2019-108882,2019-01-09,2019-01-15,LA-16780,TEC-AC-10000420,Fresno,349.95,5,118.983,0.0,Standard Class,COD
3210,CA-2019-108882,2019-01-09,2019-01-15,LA-16780,TEC-PH-10002726,Fresno,377.928,9,141.723,0.0,Standard Class,Cards
3702,CA-2019-126543,2019-01-09,2019-01-13,MF-17665,FUR-FU-10002445,Toledo,15.168,2,3.792,0.0,Second Class,Cards
4667,CA-2019-116547,2019-01-10,2019-01-17,KB-16585,FUR-FU-10000076,Seattle,79.92,4,34.3656,0.0,Standard Class,Cards
4668,CA-2019-116547,2019-01-10,2019-01-17,KB-16585,TEC-AC-10002335,Seattle,69.98,2,13.2962,0.0,Standard Class,COD
6970,CA-2019-163937,2019-01-10,2019-01-13,JB-16000,FUR-FU-10000010,Longview,24.85,5,7.7035,0.0,Second Class,Cards
1026,CA-2019-126529,2019-01-11,2019-01-13,DE-13255,OFF-PA-10001166,Springfield,15.552,3,5.4432,0.0,Second Class,Online
1027,CA-2019-126529,2019-01-11,2019-01-13,DE-13255,OFF-PA-10003656,Springfield,63.312,3,20.5764,0.0,Second Class,Cards
1028,CA-2019-126529,2019-01-11,2019-01-13,DE-13255,TEC-PH-10000148,Springfield,15.588,2,-9.8724,0.0,Second Class,Online
8522,CA-2019-141887,2019-01-11,2019-01-15,MP-17470,FUR-FU-10002268,Columbus,54.992,14,8.9362,0.0,Standard Class,Online
7269,CA-2019-133368,2019-01-14,2019-01-20,AG-10675,OFF-PA-10004039,Concord,89.568,2,32.4684,0.0,Standard Class,Cards
7270,CA-2019-133368,2019-01-14,2019-01-20,AG-10675,FUR-FU-10003374,Concord,315.776,8,31.5776,0.0,Standard Class,Online
2878,CA-2019-152072,2019-01-15,2019-01-19,Dp-13240,OFF-EN-10003040,Westfield,52.34,2,24.5998,0.0,Standard Class,Cards
2879,CA-2019-152072,2019-01-15,2019-01-19,Dp-13240,OFF-AR-10001573,Westfield,4.66,2,1.3514,0.0,Standard Class,COD
2880,CA-2019-152072,2019-01-15,2019-01-19,Dp-13240,TEC-AC-10000844,Westfield,254.97,3,91.7892,0.0,Standard Class,Cards
3236,CA-2019-140746,2019-01-15,2019-01-15,RC-19825,FUR-TA-10002903,Fairfield,181.797,1,-15.5826,0.0,Same Day,COD
3742,CA-2019-137848,2019-01-15,2019-01-21,WB-21850,OFF-EN-10001137,New York City,16.52,4,7.5992,0.0,Standard Class,Online
3743,CA-2019-137848,2019-01-15,2019-01-21,WB-21850,OFF-PA-10004285,New York City,60.12,9,28.8576,0.0,Standard Class,COD
3744,CA-2019-137848,2019-01-15,2019-01-21,WB-21850,OFF-BI-10002225,New York City,49.536,3,17.3376,0.0,Standard Class,Cards
5968,CA-2019-166912,2019-01-15,2019-01-17,BE-11335,OFF-PA-10001033,New York City,81.98,2,40.1702,0.0,First Class,Online
26,CA-2019-121755,2019-01-16,2019-01-20,EH-13945,OFF-BI-10001634,Los Angeles,11.648,2,4.2224,0.0,Second Class,Cards
27,CA-2019-121755,2019-01-16,2019-01-20,EH-13945,TEC-AC-10003027,Los Angeles,90.57,3,11.7741,0.0,Second Class,COD
876,CA-2019-116736,2019-01-17,2019-01-21,CC-12430,FUR-FU-10004017,Concord,322.59,3,64.518,0.0,Standard Class,COD
877,CA-2019-116736,2019-01-17,2019-01-21,CC-12430,TEC-AC-10003628,Concord,29.99,1,13.1956,0.0,Standard Class,Online
878,CA-2019-116736,2019-01-17,2019-01-21,CC-12430,TEC-AC-10002049,Concord,371.97,3,66.9546,0.0,Standard Class,Online
2303,CA-2019-106558,2019-01-17,2019-01-21,DL-13495,TEC-AC-10001142,Columbus,316.0,4,31.6,0.0,Standard Class,Online
